"filename", "language", "Python", "Markdown", "comment", "blank", "total"
"d:\UFSC\POO2\trabalho_final\projeto-final-grupo-1-2021-2\prototipo\Biblioteca.py", "Python", 29, 0, 4, 5, 38
"d:\UFSC\POO2\trabalho_final\projeto-final-grupo-1-2021-2\prototipo\Camera.py", "Python", 56, 0, 10, 9, 75
"d:\UFSC\POO2\trabalho_final\projeto-final-grupo-1-2021-2\prototipo\ConstrutorFase.py", "Python", 50, 0, 2, 9, 61
"d:\UFSC\POO2\trabalho_final\projeto-final-grupo-1-2021-2\prototipo\ControladorJogo.py", "Python", 142, 0, 6, 19, 167
"d:\UFSC\POO2\trabalho_final\projeto-final-grupo-1-2021-2\prototipo\Coordenada.py", "Python", 30, 0, 0, 7, 37
"d:\UFSC\POO2\trabalho_final\projeto-final-grupo-1-2021-2\prototipo\Fase.py", "Python", 106, 0, 6, 26, 138
"d:\UFSC\POO2\trabalho_final\projeto-final-grupo-1-2021-2\prototipo\InimigoObstaculo.py", "Python", 30, 0, 2, 6, 38
"d:\UFSC\POO2\trabalho_final\projeto-final-grupo-1-2021-2\prototipo\InimigoPessoa.py", "Python", 36, 0, 4, 9, 49
"d:\UFSC\POO2\trabalho_final\projeto-final-grupo-1-2021-2\prototipo\Interativos.py", "Python", 34, 0, 0, 11, 45
"d:\UFSC\POO2\trabalho_final\projeto-final-grupo-1-2021-2\prototipo\Item.py", "Python", 30, 0, 2, 10, 42
"d:\UFSC\POO2\trabalho_final\projeto-final-grupo-1-2021-2\prototipo\Jogador.py", "Python", 55, 0, 1, 14, 70
"d:\UFSC\POO2\trabalho_final\projeto-final-grupo-1-2021-2\prototipo\Mapa.py", "Python", 50, 0, 4, 14, 68
"d:\UFSC\POO2\trabalho_final\projeto-final-grupo-1-2021-2\prototipo\Menu.py", "Python", 5, 0, 0, 2, 7
"d:\UFSC\POO2\trabalho_final\projeto-final-grupo-1-2021-2\prototipo\MenuCreditos.py", "Python", 8, 0, 0, 2, 10
"d:\UFSC\POO2\trabalho_final\projeto-final-grupo-1-2021-2\prototipo\MenuPrincipal.py", "Python", 13, 0, 0, 7, 20
"d:\UFSC\POO2\trabalho_final\projeto-final-grupo-1-2021-2\prototipo\MenuTutorial.py", "Python", 10, 0, 0, 3, 13
"d:\UFSC\POO2\trabalho_final\projeto-final-grupo-1-2021-2\prototipo\Movel.py", "Python", 74, 0, 4, 23, 101
"d:\UFSC\POO2\trabalho_final\projeto-final-grupo-1-2021-2\prototipo\ObstaculoMapa.py", "Python", 24, 0, 4, 10, 38
"d:\UFSC\POO2\trabalho_final\projeto-final-grupo-1-2021-2\prototipo\PontoEntrega.py", "Python", 22, 0, 2, 8, 32
"d:\UFSC\POO2\trabalho_final\projeto-final-grupo-1-2021-2\prototipo\README.md", "Markdown", 0, 12, 0, 5, 17
"d:\UFSC\POO2\trabalho_final\projeto-final-grupo-1-2021-2\prototipo\Tamanho.py", "Python", 16, 0, 0, 5, 21
"d:\UFSC\POO2\trabalho_final\projeto-final-grupo-1-2021-2\prototipo\app.py", "Python", 3, 0, 0, 2, 5
"d:\UFSC\POO2\trabalho_final\projeto-final-grupo-1-2021-2\prototipo\teste.py", "Python", 59, 0, 5, 18, 82
"Total", "-", 882, 12, 56, 224, 1174